2018-01-04 02:00,2018-01-04 02:00,GRAPHIC ARTIST / CAD DESIGNER - Junior Fashion
2018-01-03 17:56,2018-01-03 17:56,Senior Hardware/Software Engineer
2018-01-03 16:57,2018-01-03 16:57,CHIEF ENGINEER NEEDED - ASAP
2018-01-03 16:55,2018-01-03 16:55,Mechanical (HVAC) Engineer
2018-01-03 16:51,2018-01-03 16:51,SENIOR LEVEL ARCHITECT - 5TH AVENUE
2018-01-03 15:08,2018-01-03 15:08,Structural Project Engineer
2018-01-03 12:02,2018-01-03 12:02,Interior Architect | Interior Designer
2018-01-03 10:53,2018-01-03 10:53,Senior Construction Site Supervisor
2018-01-03 09:24,2018-01-03 09:24,Intermediate Architect - High End Residential
2018-01-03 07:27,2018-01-03 07:27,NY PE with site safety experience
2018-01-02 21:35,2018-01-02 21:35,Junior Level of Interior Design Assistant
2018-01-02 16:40,2018-01-02 16:40,Engineering Administrator
2018-01-02 16:38,2018-01-02 16:38,Steel Detailer
2018-01-02 14:56,2018-01-02 14:56,Project Manager/Mechanical Engineers (2-10+ Years)
2018-01-02 14:52,2018-01-02 14:52,Electrical Engineers with REVIT
2018-01-02 14:45,2018-01-02 14:45,Sr. Project/PM Electrical Engineers
2018-01-02 14:44,2018-01-02 14:44,Architectural Firm Seeking Interior Design Intern
2018-01-02 14:42,2018-01-02 14:42,MEP/Senior & Mid-Level Resource Managers
2018-01-02 13:59,2018-01-02 13:59,COST ESTIMATOR WANTED NOW
2018-01-02 13:51,2018-01-02 13:51,Experienced Architectural Metal Programmer
2018-01-02 13:47,2018-01-02 13:47,Procurement Project Manager with Design/Architecture background needed
2018-01-02 13:44,2018-01-02 13:44,Interns Needed!
2018-01-02 13:14,2018-01-02 13:14,Academic Tutors ( Starting at $75 per hour )
2018-01-02 12:36,2018-01-02 12:36,"Administrative Receptionist - Leading Wholesaler - Temp to Perm, $40K"
2018-01-02 12:08,2018-01-02 12:08,Architectural Metal Cost Estimator
2018-01-02 11:54,2018-01-02 11:54,Restaurant Construction Project Manager
2018-01-02 11:47,2018-01-02 11:47,Structural Engineer
2018-01-02 11:45,2018-01-02 11:45,Architectural Designer
2018-01-02 11:41,2018-01-02 11:41,Junior and Intern Level Architect
2018-01-02 11:32,2018-01-02 11:32,land surveyor - party chief or field assistant
2018-01-02 11:17,2018-01-02 11:17,Career Opportunity in Tech and Engineering  for Immigrant Professional
2018-01-02 10:45,2018-01-02 10:45,Senior CAD Draftsperson / Job Captain
2018-01-01 20:51,2018-01-01 20:51,Associate Project Manager
2018-01-01 18:13,2018-01-01 18:13,Single family residential acquisitions analyst
2018-01-01 17:46,2018-01-01 17:46,Construction Manager: high volume single family flipping/rental co
2018-01-01 15:20,2018-01-01 15:20,FACILITIES MANAGER w/ Engineering Background Mang Office & Warehouse
2017-12-29 17:13,2017-12-29 17:13,STAFF MECHANICAL ENGINEER - PRODUCT DEVELOPMENT
2017-12-29 15:49,2017-12-29 15:49,Architect 2-5 Years' Experience
2017-12-29 15:25,2017-12-29 15:25,Experienced Expediter
2017-12-29 14:08,2017-12-29 14:08,Architectural Designer Needed
2017-12-29 14:01,2017-12-29 14:01,Controls/ Instrumentation Engineer
2017-12-29 13:36,2017-12-29 13:36,Architectural Consultant/Expediter
2017-12-29 13:05,2017-12-29 13:05,Experienced Certificate of Occupancy Coordinator/Project Manager
date,link,text
2018-01-10 16:36,https://newyork.craigslist.org/mnh/egr/d/junior-architects/6455058476.html,Junior Architects
2018-01-10 16:26,https://newyork.craigslist.org/que/egr/d/wireless-rf-telecom/6455044603.html,Wireless/RF Telecom Technician (Bucket Truck Operator) in Queens
2018-01-10 15:18,https://newyork.craigslist.org/wch/egr/d/drafter-sketcher-wanted/6454949747.html,Drafter/Sketcher Wanted
2018-01-10 14:25,https://newyork.craigslist.org/mnh/egr/d/intermediate-architect/6454870254.html,Intermediate Architect
2018-01-10 13:21,https://newyork.craigslist.org/mnh/egr/d/civil-engineer-bridge/6454771170.html,Civil Engineer - Bridge Inspector
2018-01-10 12:47,https://newyork.craigslist.org/que/egr/d/draftsperson-expeditor-field/6454719415.html,DRAFTSPERSON / EXPEDITOR / FIELD WORK
2018-01-10 11:39,https://newyork.craigslist.org/mnh/egr/d/mechanical-engineer-luxury/6454614550.html,MECHANICAL ENGINEER - Luxury Design/Mfg Co:  Full Time Project Work
2018-01-10 11:30,https://newyork.craigslist.org/brk/egr/d/seeking-full-time-structural/6454601265.html,Seeking Full Time Structural Engineer
2018-01-10 10:55,https://newyork.craigslist.org/que/egr/d/construction-site-safety/6454549688.html,Construction Site Safety Monitor Wanted - Consultant / Part Time
2018-01-10 10:48,https://newyork.craigslist.org/mnh/egr/d/structural-engineering-firm/6454540589.html,Structural Engineering Firm Seeks Engineers
2018-01-10 09:57,https://newyork.craigslist.org/mnh/egr/d/revit-modeler/6454475219.html,REVIT MODELER
2018-01-10 09:51,https://newyork.craigslist.org/mnh/egr/d/jr-plumbing-and-fire/6454467408.html,Jr. Plumbing and Fire Protection Engineers/REVIT
2018-01-10 06:49,https://newyork.craigslist.org/que/egr/d/graduate-civil-engineer/6454341146.html,graduate civil engineer w/ autocad experience
2018-01-09 20:52,https://newyork.craigslist.org/mnh/egr/d/estimator-carpentry-and/6454095005.html,Estimator Carpentry and Drywall
2018-01-09 16:10,https://newyork.craigslist.org/mnh/egr/d/architect-engineer/6453782249.html,Architect/Engineer/Construction Manager
2018-01-09 13:12,https://newyork.craigslist.org/brk/egr/d/mechanical-engineering/6453520778.html,Mechanical Engineering Internship
2018-01-09 11:39,https://newyork.craigslist.org/fct/egr/d/project-architect-wanted/6453376099.html,Project Architect Wanted!
2018-01-09 11:37,https://newyork.craigslist.org/brk/egr/d/part-time-drafts-person/6453373074.html,Part time Drafts person
2018-01-09 11:06,https://newyork.craigslist.org/mnh/egr/d/intermediate-sr-project/6453328893.html,Intermediate - Sr. Project Designer/Architect
2018-01-09 10:42,https://newyork.craigslist.org/mnh/egr/d/architectural-designer/6453296484.html,Architectural Designer
2018-01-09 00:04,https://newyork.craigslist.org/mnh/egr/d/project-architect-wanted/6452999443.html,PROJECT ARCHITECT WANTED - PREMIER DESIGN/BUILD
2018-01-08 19:32,https://newyork.craigslist.org/mnh/egr/d/jr-intermediate-ffe-interior/6452792827.html,Jr - Intermediate FF&E / Interior Designer
2018-01-08 18:11,https://newyork.craigslist.org/brk/egr/d/structural-engineer/6452706293.html,Structural Engineer
2018-01-08 17:10,https://newyork.craigslist.org/mnh/egr/d/construction-site-supervisor/6452631071.html,CONSTRUCTION SITE SUPERVISOR
2018-01-08 15:12,https://newyork.craigslist.org/mnh/egr/d/project-supervisor-40-50k/6452463277.html,Project Supervisor -- $40-50k
2018-01-08 14:51,https://newyork.craigslist.org/wch/egr/d/engineering-administrator/6452430795.html,Engineering Administrator
2018-01-08 14:08,https://newyork.craigslist.org/mnh/egr/d/junior-architectural-designer/6452362670.html,Junior Architectural Designer/CAD Drafter
2018-01-08 13:36,https://newyork.craigslist.org/que/egr/d/intern-entry-level-drafting/6452312642.html,Intern/Entry Level Drafting position
2018-01-08 12:59,https://newyork.craigslist.org/mnh/egr/d/junior-interior-designer/6452253014.html,Junior Interior Designer
2018-01-08 12:31,https://newyork.craigslist.org/mnh/egr/d/retail-architect-sr-pm-intern/6452208045.html,RETAIL ARCHITECT - Sr PM & Intern Arch positions
2018-01-08 12:17,https://newyork.craigslist.org/mnh/egr/d/project-architect-coordinator/6452185148.html,Project Architect / Coordinator
2018-01-08 12:04,https://newyork.craigslist.org/brk/egr/d/autocad-drafter-hvac-shop/6452163088.html,AutoCad Drafter / HVAC Shop Drawing Design
2018-01-08 10:57,https://newyork.craigslist.org/mnh/egr/d/top-expediting-firm-immediate/6452060986.html,Top Expediting Firm- Immediate Hires- Asst. Project Mgr / Project Mgr
2018-01-08 10:12,https://newyork.craigslist.org/mnh/egr/d/architectural-drafter/6452000446.html,ARCHITECTURAL DRAFTER
2018-01-08 10:07,https://newyork.craigslist.org/mnh/egr/d/estimator-wanted/6451994407.html,Estimator Wanted
2018-01-08 10:05,https://newyork.craigslist.org/mnh/egr/d/estimator-wanted/6451992652.html,Estimator Wanted
2018-01-08 10:05,https://newyork.craigslist.org/mnh/egr/d/interior-designer-draftsman/6451992258.html,Interior Designer / Draftsman
2018-01-08 10:02,https://newyork.craigslist.org/que/egr/d/draftsman-junior-architect/6451989218.html,DRAFTSMAN/JUNIOR ARCHITECT
2018-01-08 09:01,https://newyork.craigslist.org/wch/egr/d/landscape-architect-landscape/6451923400.html,Landscape Architect/Landscape Designer
2018-01-07 21:12,https://newyork.craigslist.org/mnh/egr/d/immediate-position-for-mid/6451631654.html,Immediate Position for Mid-Level Residential Architect
2018-01-07 09:12,https://newyork.craigslist.org/brx/egr/d/hvac-boiler-technician-helper/6450902796.html,HVac / Boiler Technician / HELPER Wanted
2018-01-06 17:03,https://newyork.craigslist.org/que/egr/d/department-of-buildings-class/6450418826.html,Department of Buildings Class 2 Expediter
2018-01-06 09:44,https://newyork.craigslist.org/que/egr/d/mechanical-engineering-manager/6449846118.html,Mechanical Engineering Manager
2018-01-05 18:02,https://newyork.craigslist.org/jsy/egr/d/mechanical-engineer-electric/6449348760.html,"Mechanical Engineer, Electric Motor - Contract Position"
2018-01-05 17:36,https://newyork.craigslist.org/que/egr/d/estimator-asst-project-manager/6449318191.html,Estimator/Asst. Project Manager
2018-01-05 17:35,https://newyork.craigslist.org/mnh/egr/d/electrical-engineer-pe/6449316474.html,Electrical Engineer - PE
2018-01-05 17:09,https://newyork.craigslist.org/mnh/egr/d/seeking-apms-pms-and/6449284229.html,Seeking APMs/PMs and Construction Superintendents
2018-01-05 17:04,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6449278399.html,Facade / Building Envelope Engineer or Architect
2018-01-05 17:03,https://newyork.craigslist.org/mnh/egr/d/exterior-restoration-recent/6449277241.html,Exterior Restoration / Recent Graduate
2018-01-05 17:01,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6449275324.html,Facade / Building Envelope Project Architect or Engineer
2018-01-05 15:44,https://newyork.craigslist.org/brk/egr/d/scenic-construction-project/6449172024.html,Scenic Construction Project Manager
2018-01-05 14:48,https://newyork.craigslist.org/mnh/egr/d/plumbing-fire-protection/6449092162.html,Plumbing/ Fire Protection Engineer
2018-01-05 12:30,https://newyork.craigslist.org/mnh/egr/d/project-manager/6448883627.html,Project Manager
2018-01-05 10:42,https://newyork.craigslist.org/mnh/egr/d/autocad-pm-drafting-positions/6448727962.html,AutoCAD PM/Drafting Positions for Site Safety Plans
2018-01-05 10:00,https://newyork.craigslist.org/que/egr/d/junior-architect/6448675578.html,JUNIOR ARCHITECT
2018-01-05 09:58,https://newyork.craigslist.org/wch/egr/d/mep-estimator/6448673118.html,MEP Estimator
2018-01-04 19:14,https://newyork.craigslist.org/mnh/egr/d/environmental-branding/6448233403.html,Environmental Branding Project Designer (NYCGRAPHIC1801)
2018-01-04 18:57,https://newyork.craigslist.org/mnh/egr/d/workplace-strategist/6448216189.html,Workplace Strategist (NYCINT1860)
2018-01-04 18:43,https://newyork.craigslist.org/mnh/egr/d/interior-design-production/6448202398.html,Interior Design Production Coordinator (NYCINT1860)
2018-01-04 18:19,https://newyork.craigslist.org/mnh/egr/d/interior-design-job-captain/6448177494.html,Interior Design Job Captain - Retail (NYCINT1860)
2018-01-04 17:51,https://newyork.craigslist.org/mnh/egr/d/interior-design-project/6448146294.html,"Interior Design Project Manager, Retail (NYCINT1860)"
2018-01-04 17:22,https://newyork.craigslist.org/mnh/egr/d/interior-design-job-captain/6448111882.html,Interior Design Job Captain (NYCINT1860)
2018-01-04 17:15,https://newyork.craigslist.org/mnh/egr/d/mechanical-engineer/6448104652.html,Mechanical Engineer
2018-01-04 17:03,https://newyork.craigslist.org/mnh/egr/d/interior-design-project/6448090044.html,Interior Design Project Manager (NYCINT1860)
2018-01-04 16:46,https://newyork.craigslist.org/wch/egr/d/construction-coordination/6448069473.html,Construction Coordination Associate
2018-01-04 15:13,https://newyork.craigslist.org/brk/egr/d/autocad-drafter/6447947625.html,AutoCAD Drafter
2018-01-04 14:54,https://newyork.craigslist.org/jsy/egr/d/interior-design-production/6447920655.html,Interior Design Production Coordinator (NJYINT760)
2018-01-04 14:37,https://newyork.craigslist.org/jsy/egr/d/interior-design-job-captain/6447895986.html,"Interior Design Job Captain, Retail (NJYINT760)"
2018-01-04 13:39,https://newyork.craigslist.org/brk/egr/d/intermediate-architect/6447811749.html,Intermediate Architect
2018-01-04 13:39,https://newyork.craigslist.org/brk/egr/d/senior-project-architect/6447811102.html,Senior Project Architect
2018-01-04 13:35,https://newyork.craigslist.org/jsy/egr/d/interior-design-project/6447806026.html,"Interior Design Project Manager, Retail (NJYINT760)"
2018-01-04 13:26,https://newyork.craigslist.org/jsy/egr/d/interior-design-job-captain/6447792113.html,Interior Design Job Captain (NJYINT760)
2018-01-04 13:13,https://newyork.craigslist.org/jsy/egr/d/interior-design-project/6447772429.html,Interior Design Project Manager (NJYINT760)
2018-01-04 13:04,https://newyork.craigslist.org/jsy/egr/d/environmental-branding/6447759418.html,Environmental Branding Project Designer (NJYGRAPHIC701)
2018-01-04 11:26,https://newyork.craigslist.org/mnh/egr/d/interior-designer-draftsman/6447613060.html,Interior Designer / Draftsman
2018-01-04 10:42,https://newyork.craigslist.org/brx/egr/d/mechanical-engineer/6447553878.html,Mechanical Engineer
2018-01-04 10:41,https://newyork.craigslist.org/mnh/egr/d/project-architect-high-end/6447552012.html,Project Architect (High-end Retail & Hospitality)
2018-01-04 02:00,https://newyork.craigslist.org/mnh/egr/d/graphic-artist-cad-designer/6447320194.html,GRAPHIC ARTIST / CAD DESIGNER - Junior Fashion
2018-01-03 17:56,https://newyork.craigslist.org/lgi/egr/d/senior-hardware-software/6446977285.html,Senior Hardware/Software Engineer
2018-01-03 16:57,https://newyork.craigslist.org/mnh/egr/d/chief-engineer-needed-asap/6446904384.html,CHIEF ENGINEER NEEDED - ASAP
2018-01-03 16:55,https://newyork.craigslist.org/mnh/egr/d/mechanical-hvac-engineer/6446902746.html,Mechanical (HVAC) Engineer
2018-01-03 16:51,https://newyork.craigslist.org/mnh/egr/d/senior-level-architect-5th/6446896858.html,SENIOR LEVEL ARCHITECT - 5TH AVENUE
2018-01-03 15:08,https://newyork.craigslist.org/mnh/egr/d/structural-project-engineer/6446759591.html,Structural Project Engineer
2018-01-03 12:02,https://newyork.craigslist.org/mnh/egr/d/interior-architect-interior/6446483010.html,Interior Architect | Interior Designer
2018-01-03 10:53,https://newyork.craigslist.org/brk/egr/d/senior-construction-site/6446383099.html,Senior Construction Site Supervisor
2018-01-03 09:24,https://newyork.craigslist.org/mnh/egr/d/intermediate-architect-high/6446280031.html,Intermediate Architect - High End Residential
2018-01-03 07:27,https://newyork.craigslist.org/brk/egr/d/ny-pe-with-site-safety/6446203171.html,NY PE with site safety experience
2018-01-02 21:35,https://newyork.craigslist.org/brk/egr/d/junior-level-of-interior/6445985050.html,Junior Level of Interior Design Assistant
2018-01-02 16:40,https://newyork.craigslist.org/wch/egr/d/engineering-administrator/6445680095.html,Engineering Administrator
2018-01-02 16:38,https://newyork.craigslist.org/brk/egr/d/steel-detailer/6445677511.html,Steel Detailer
2018-01-02 14:56,https://newyork.craigslist.org/mnh/egr/d/project-manager-mechanical/6445533034.html,Project Manager/Mechanical Engineers (2-10+ Years)
2018-01-02 14:52,https://newyork.craigslist.org/mnh/egr/d/electrical-engineers-with/6445527202.html,Electrical Engineers with REVIT
2018-01-02 14:45,https://newyork.craigslist.org/mnh/egr/d/sr-project-pm-electrical/6445516841.html,Sr. Project/PM Electrical Engineers
2018-01-02 14:44,https://newyork.craigslist.org/mnh/egr/d/architectural-firm-seeking/6445514917.html,Architectural Firm Seeking Interior Design Intern
2018-01-02 14:42,https://newyork.craigslist.org/mnh/egr/d/mep-senior-mid-level-resource/6445512929.html,MEP/Senior & Mid-Level Resource Managers
2018-01-02 13:59,https://newyork.craigslist.org/brk/egr/d/cost-estimator-wanted-now/6445446795.html,COST ESTIMATOR WANTED NOW
2018-01-02 13:51,https://newyork.craigslist.org/brk/egr/d/experienced-architectural/6445269287.html,Experienced Architectural Metal Programmer
2018-01-02 13:47,https://newyork.craigslist.org/mnh/egr/d/procurement-project-manager/6445428752.html,Procurement Project Manager with Design/Architecture background needed
2018-01-02 13:44,https://newyork.craigslist.org/mnh/egr/d/interns-needed/6445424349.html,Interns Needed!
2018-01-02 13:14,https://newyork.craigslist.org/wch/egr/d/academic-tutors-starting-at/6445376771.html,Academic Tutors ( Starting at $75 per hour )
2018-01-02 12:36,https://newyork.craigslist.org/mnh/egr/d/administrative-receptionist/6445317087.html,"Administrative Receptionist - Leading Wholesaler - Temp to Perm, $40K"
2018-01-02 12:08,https://newyork.craigslist.org/brk/egr/d/architectural-metal-cost/6445271936.html,Architectural Metal Cost Estimator
2018-01-02 11:54,https://newyork.craigslist.org/mnh/egr/d/restaurant-construction/6445250390.html,Restaurant Construction Project Manager
2018-01-02 11:47,https://newyork.craigslist.org/que/egr/d/structural-engineer/6445239784.html,Structural Engineer
2018-01-02 11:45,https://newyork.craigslist.org/que/egr/d/architectural-designer/6445238002.html,Architectural Designer
2018-01-02 11:41,https://newyork.craigslist.org/que/egr/d/junior-and-intern-level/6445231380.html,Junior and Intern Level Architect
2018-01-02 11:32,https://newyork.craigslist.org/lgi/egr/d/land-surveyor-party-chief-or/6445218427.html,land surveyor - party chief or field assistant
2018-01-02 11:17,https://newyork.craigslist.org/mnh/egr/d/career-opportunity-in-tech/6445196439.html,Career Opportunity in Tech and Engineering  for Immigrant Professional
2018-01-02 10:45,https://newyork.craigslist.org/mnh/egr/d/senior-cad-draftsperson-job/6445152488.html,Senior CAD Draftsperson / Job Captain
2018-01-01 20:51,https://newyork.craigslist.org/mnh/egr/d/associate-project-manager/6444760467.html,Associate Project Manager
2018-01-01 18:13,https://newyork.craigslist.org/mnh/egr/d/single-family-residential/6444637775.html,Single family residential acquisitions analyst
2018-01-01 17:46,https://newyork.craigslist.org/mnh/egr/d/construction-manager-high/6444614673.html,Construction Manager: high volume single family flipping/rental co
2018-01-01 15:20,https://newyork.craigslist.org/mnh/egr/d/facilities-manager/6444473158.html,FACILITIES MANAGER w/ Engineering Background Mang Office & Warehouse
2017-12-29 17:13,https://newyork.craigslist.org/lgi/egr/d/staff-mechanical-engineer/6442043941.html,STAFF MECHANICAL ENGINEER - PRODUCT DEVELOPMENT
2017-12-29 15:49,https://newyork.craigslist.org/mnh/egr/d/architect-2-5-years-experience/6441945941.html,Architect 2-5 Years' Experience
2017-12-29 15:25,https://newyork.craigslist.org/brk/egr/d/experienced-expediter/6441916005.html,Experienced Expediter
2017-12-29 14:08,https://newyork.craigslist.org/brk/egr/d/architectural-designer-needed/6441814150.html,Architectural Designer Needed
2017-12-29 14:01,https://newyork.craigslist.org/mnh/egr/d/controls-instrumentation/6441803714.html,Controls/ Instrumentation Engineer
2017-12-29 13:36,https://newyork.craigslist.org/mnh/egr/d/architectural-consultant/6441770473.html,Architectural Consultant/Expediter
2017-12-29 13:05,https://newyork.craigslist.org/mnh/egr/d/experienced-certificate-of/6441728638.html,Experienced Certificate of Occupancy Coordinator/Project Manager
date,link,text,compensation,type,images,address
2018-01-10 16:36,https://newyork.craigslist.org/mnh/egr/d/junior-architects/6455058476.html,Junior Architects,"annual salary, healthcare, retirement plans",full-time,,"
        ,
            ,QR Code Link to This Post,
            ,
        ,
Well established Midtown architectural firm looking for Junior Architects eager to grow. ,
,
We expect:,
3 years experience (minimum) ,
Mastery of AutoCad,,
Motivation to excel,,
Independence and responsibility,,
Team work attitude.,
,
We offer:,
Excellent compensation and benefits,,
Spacious and light-filled office space,,
Challenging projects - education, corporate, healthcare,,
Multiple opportunities for growth,,
Supportive and friendly office culture.,
,
    "
2018-01-10 14:25,https://newyork.craigslist.org/mnh/egr/d/intermediate-architect/6454870254.html,Intermediate Architect,commensurate with experience,full-time,"https://images.craigslist.org/00l0l_ksm272Utx5U_600x450.jpg,https://images.craigslist.org/00n0n_cG1NbpRNyiU_600x450.jpg,https://images.craigslist.org/00J0J_dxa9aWj4j6d_600x450.jpg,https://images.craigslist.org/00u0u_9QTAeG1YRQ2_600x450.jpg","
        ,
            ,QR Code Link to This Post,
            ,
        ,
Building Studio Architects is a ten person design-oriented partnership located in the garment district with a diverse portfolio of project types. We are seeking a motivated, self-directed, proactive person who is capable of creatively and carefully solving architectural problems. Our ideal candidate is very organized, able to work on multiple projects at once and an excellent communicator. ,
,
If you would like to be challenged by different project types and have meaningful responsibility, we encourage you to apply. ,
,
Requirements: ,
•         AUTOCAD 2-D proficiency [not Revit],
•         experience producing construction documents, detailing and millwork,
•         3D modeling, rendering, and Photoshop experience. ,
•         Design skills in both contemporary and traditional modes ,
•         Bachelor's Degree in an architecture/design related field,
•         3-5 Years of full-time architectural experience in the tristate area beyond an internship level is ideal,
•         Experience in applying New York City zoning codes and rules a plus,
,
Our work requires attention to detail, therefore, we will only respond to qualified applications that follow all instructions. Please apply directly through this site. No phone calls.,
,
Apply with:,
•       brief cover letter ,
•       resume of related experience ,
•       design portfolio, including 3D modeling,
•	Professional work samples including construction documents and details,
,
Additional information: ,
•       You must be legal to work in the US [We do not sponsor visa requests]  ,
•       All interviews will take place in person.,
•       Benefits include health, Simple IRA, paid vacation and holidays    "
